,airline,number_of_changes,origin_city_code,destination_country_code,search_month,search_weekday,depart_month,depart_weekday,diff_days,distance,price
559,Turkish Airlines,3,MOW,ES,4,5,5,5,42,2935.81,28800
560,Uzbekistan Airways,0,MOW,UZ,4,5,5,2,53,2951.46,5384
565,Azimut,2,MOW,RU,4,5,5,5,49,1602.63,4723
566,S7 Airlines,0,MOW,RU,4,5,5,6,43,1939.79,10171
568,Pegasus Airlines,2,MOW,IN,4,5,5,3,54,5022.12,33132
573,Nordwind Airlines,0,MOW,RU,4,5,5,2,46,1201.71,4069
574,Pegasus Airlines,2,MOW,IT,4,5,5,5,35,2622.72,22989
576,Nordwind Airlines,1,MOW,DE,4,5,5,1,59,2033.29,6907
583,Pegasus Airlines,2,MOW,TR,4,5,5,4,48,2067.55,20779
587,Turkish Airlines,2,MOW,ES,4,5,5,4,41,3612.93,33964
588,Pegasus Airlines,1,MOW,TR,4,5,5,4,48,2079.39,19335
590,Pegasus Airlines,2,MOW,IT,4,5,5,5,49,2638.56,19193
591,Uzbekistan Airways,0,MOW,UZ,4,5,5,2,39,2654.56,5460
592,Azimut,1,MOW,RU,4,5,5,1,45,1191.19,2308
595,Pegasus Airlines,2,MOW,TR,4,5,5,3,54,1988.86,19772
596,S7 Airlines,2,MOW,RU,4,5,5,1,31,4575.94,30190
598,S7 Airlines,2,MOW,RU,4,5,5,5,49,3934.73,21048
606,Uzbekistan Airways,1,MOW,KZ,4,5,5,5,56,1626.78,12784
610,Uzbekistan Airways,0,MOW,UZ,4,5,5,3,40,2791.24,11461
613,Aeroflot,1,MOW,RU,4,5,5,6,29,5599.18,12430
615,Azimut,2,MOW,RU,4,5,5,1,52,3661.34,12575
618,S7 Airlines,1,MOW,RU,4,5,5,6,29,2878.27,6850
619,Turkish Airlines,2,MOW,TR,4,5,5,2,46,1911.0,20083
620,Uzbekistan Airways,2,MOW,IN,4,5,5,5,35,5986.37,36821
621,Pegasus Airlines,2,MOW,IT,4,5,5,0,44,2232.05,17458
622,Pegasus Airlines,1,MOW,DE,4,5,5,5,56,1846.08,15334
627,Aeroflot,0,MOW,KZ,4,5,5,2,46,1687.7,15679
634,Pegasus Airlines,2,MOW,GR,4,5,5,0,44,2466.46,22350
635,Nordwind Airlines,0,MOW,RU,4,5,5,3,54,6410.71,9171
638,Azimut,1,MOW,RU,4,5,5,4,41,567.67,3780
642,Pegasus Airlines,2,MOW,ES,4,5,5,3,47,3258.09,24366
644,Nordwind Airlines,0,MOW,RU,4,5,5,0,51,1466.42,3024
646,Turkish Airlines,2,MOW,GR,4,5,5,4,34,1858.9,29140
648,S7 Airlines,2,MOW,RU,4,5,5,3,40,4150.4,25493
651,Pobeda,0,MOW,RU,4,5,5,0,30,692.14,3099
652,S7 Airlines,0,MOW,RU,4,5,5,4,34,1492.57,6276
657,Pegasus Airlines,2,MOW,GR,4,5,5,4,48,2215.54,21961
659,Pobeda,0,MOW,RU,4,5,5,2,46,1476.84,7949
661,Pegasus Airlines,2,MOW,ES,4,5,5,5,49,3318.23,19821
663,Azimut,1,MOW,RU,4,5,5,6,43,1081.68,3172
664,Pegasus Airlines,1,MOW,TR,4,5,5,4,55,1889.67,15133
665,Uzbekistan Airways,0,MOW,UZ,4,5,5,6,36,2647.82,5384
668,S7 Airlines,1,MOW,RU,4,5,5,1,52,4208.67,11015
669,S7 Airlines,2,MOW,RU,4,5,5,0,44,4291.39,28818
672,Pegasus Airlines,0,MOW,TR,4,5,5,1,52,1759.79,11365
677,Turkish Airlines,4,MOW,IT,4,5,5,2,46,2725.08,26872
679,Pegasus Airlines,3,MOW,ES,4,5,5,4,48,3787.36,20621
681,Aeroflot,1,MOW,RU,4,5,5,3,33,7051.25,20435
684,Uzbekistan Airways,2,MOW,KZ,4,5,5,2,46,2730.28,18000
685,Uzbekistan Airways,0,MOW,UZ,4,5,5,0,44,2800.39,11520
690,Aeroflot,0,MOW,RU,4,5,5,5,49,2233.37,5434
692,Pobeda,0,MOW,RU,4,5,5,5,42,600.92,3099
699,Pegasus Airlines,1,MOW,TR,4,5,5,2,53,2153.37,17882
701,Turkish Airlines,1,MOW,TR,4,5,5,1,59,2066.43,30217
706,Uzbekistan Airways,0,MOW,UZ,4,5,5,1,31,2156.62,11440
710,Pegasus Airlines,1,MOW,TR,4,5,5,5,56,1783.91,20790
713,Turkish Airlines,3,MOW,ES,4,5,5,2,39,3090.66,20798
716,Pegasus Airlines,2,MOW,GR,4,5,5,6,57,2231.25,23566
717,Turkish Airlines,1,MOW,TR,4,5,5,6,43,1995.92,33543
718,Turkish Airlines,1,MOW,TR,4,5,5,1,59,1994.83,20074
721,S7 Airlines,1,MOW,RU,4,5,5,4,55,2850.63,15873
726,S7 Airlines,2,MOW,RU,4,5,5,4,41,4105.39,17844
731,Azimut,0,MOW,RU,4,5,5,3,47,616.0,1780
735,Pegasus Airlines,2,MOW,GR,4,5,5,1,31,2248.52,27811
742,Uzbekistan Airways,2,MOW,IN,4,5,5,3,54,5841.33,37726
748,Uzbekistan Airways,2,MOW,IN,4,5,5,1,59,3867.55,41620
754,Azimut,2,MOW,RU,4,5,5,5,56,444.87,4407
756,Aeroflot,1,MOW,RU,4,5,5,4,48,6097.35,21435
757,S7 Airlines,1,MOW,RU,4,5,5,1,31,3908.69,18051
759,S7 Airlines,0,MOW,RU,4,5,5,5,42,1338.21,5500
763,Uzbekistan Airways,0,MOW,UZ,4,5,5,0,44,2286.26,5384
764,Pegasus Airlines,1,MOW,TR,4,5,5,2,46,1770.54,18631
765,Turkish Airlines,2,MOW,TR,4,5,5,2,46,1533.5,21417
767,S7 Airlines,2,MOW,RU,4,5,5,2,32,4029.66,22260
768,Azimut,2,MOW,TR,4,5,5,5,56,2185.48,17083
770,Pegasus Airlines,2,MOW,ES,4,5,5,2,39,3355.1,25497
773,Aeroflot,2,MOW,RU,4,5,5,0,44,5110.23,18171
774,Pegasus Airlines,1,MOW,TR,4,5,5,4,41,2007.59,17573
775,Pegasus Airlines,1,MOW,DE,4,5,5,3,47,2083.32,15716
776,Pegasus Airlines,2,MOW,TR,4,5,5,1,52,1964.06,17813
778,Pobeda,0,MOW,RU,4,5,5,3,40,906.06,3649
780,Uzbekistan Airways,1,MOW,KZ,4,5,5,0,51,3101.76,14277
