,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
6659,Nordwind Airlines,0,MOW,RU,2,2,217,3324.82,4167,0,Nordwind Airlines,domestic
6660,S7 Airlines,1,MOW,TR,2,3,211,2089.38,10404,1,S7 Airlines,tourism
6661,Wizz Air,2,MOW,IT,2,4,219,2189.37,11503,2,Other,culture
6662,Pobeda,0,MOW,RU,2,1,209,1334.24,2399,0,Pobeda,domestic
6663,Aeroflot,1,MOW,US,2,3,211,9136.7,28912,1,Aeroflot,culture
6664,S7 Airlines,0,MOW,RU,2,3,218,386.51,4049,0,S7 Airlines,domestic
6665,Aeroflot,2,MOW,US,2,3,204,9372.56,38340,2,Aeroflot,culture
6666,S7 Airlines,0,MOW,RU,2,5,206,2161.81,8983,0,S7 Airlines,domestic
6667,Aeroflot,1,MOW,DE,2,0,222,2018.9,10717,1,Aeroflot,culture
6668,S7 Airlines,1,MOW,RU,2,2,231,5876.42,13592,1,S7 Airlines,domestic
6669,Uzbekistan Airways,0,MOW,UZ,2,4,219,2951.46,6768,0,Uzbekistan Airways,cis
6670,Pobeda,0,MOW,RU,2,0,208,2991.64,4799,0,Pobeda,domestic
6671,Wizz Air,2,MOW,ES,2,4,233,3430.21,6667,2,Other,tourism
6672,Aeroflot,1,MOW,US,2,4,233,7786.06,35510,1,Aeroflot,culture
6673,Aeroflot,0,MOW,RU,2,3,204,1004.37,4243,0,Aeroflot,domestic
6674,Nordwind Airlines,0,MOW,RU,2,0,229,1201.71,1959,0,Nordwind Airlines,domestic
6675,Wizz Air,2,MOW,IT,2,5,220,2622.72,6144,2,Other,culture
6676,Wizz Air,2,MOW,IT,2,5,227,2668.41,8421,2,Other,culture
6677,Wizz Air,1,MOW,IT,2,4,205,2638.56,8543,1,Other,culture
6678,Uzbekistan Airways,0,MOW,UZ,2,2,217,2654.56,6747,0,Uzbekistan Airways,cis
6679,Pobeda,0,MOW,RU,2,3,204,1191.19,2349,0,Pobeda,domestic
